Symbol,Name,Trade_Date,Settlement_Date,Side,Quantity,Price,Gross_Amount,Commission,Fee_Tax,Net_Amount,Asset_Type
QQQ,Invesco QQQ Trust,2026-01-06,2026-01-07,BUY,1,623.49,-623.49,0.00,0.00,-623.49,stock
DTCR,Global X Data Center ETF,2026-01-06,2026-01-07,BUY,10,22.61,-226.10,0.00,0.00,-226.10,stock
BOTZ,Global X Robotics AI ETF,2026-01-06,2026-01-07,BUY,3,37.95,-113.85,0.00,0.00,-113.85,stock
SPY,SPY Put 685 01/09,2026-01-09,2026-01-12,BUY,2,0.37,-74.00,0.00,-0.10,-74.10,option
SPY,SPY Put 685 01/09,2026-01-09,2026-01-12,SELL,2,0.28,56.00,0.00,-0.11,55.89,option
CIBR,First Trust Cybersecurity ETF,2026-01-09,2026-01-12,BUY,5,72.16,-360.80,0.00,0.00,-360.80,stock
SMH,VanEck Semiconductor ETF,2026-01-09,2026-01-12,BUY,2,384.64,-769.28,0.00,0.00,-769.28,stock
CLOU,Global X Cloud Computing ETF,2026-01-09,2026-01-12,BUY,10,22.60,-226.00,0.00,0.00,-226.00,stock
DMAT,Global X Disruptive Materials ETF,2026-01-09,2026-01-12,BUY,1,30.37,-30.37,0.00,0.00,-30.37,stock
MP,MP Materials Corp,2026-01-09,2026-01-12,BUY,1,62.28,-62.28,0.00,0.00,-62.28,stock
QBTS,D-Wave Quantum Inc,2026-01-09,2026-01-12,BUY,10,29.61,-296.08,0.00,0.00,-296.09,stock
CVX,Chevron Corporation,2026-01-12,2026-01-13,BUY,1,162.18,-162.18,0.00,0.00,-162.18,stock
JPXN,iShares JPX-Nikkei 400 ETF,2026-01-13,2026-01-14,BUY,5,90.42,-452.10,0.00,0.00,-452.10,stock
INTC,Intel Corp,2026-01-13,2026-01-14,BUY,20,47.43,-948.55,0.00,0.00,-948.55,stock
PLTR,Palantir Technologies,2026-01-13,2026-01-14,BUY,2,179.14,-358.28,0.00,0.00,-358.28,stock
KTOS,Kratos Defense,2026-01-13,2026-01-14,BUY,5,119.70,-598.50,0.00,0.00,-598.50,stock
AVAV,AeroVironment Inc,2026-01-13,2026-01-14,BUY,1,362.50,-362.50,0.00,0.00,-362.50,stock
CVX,Chevron Corporation,2026-01-13,2026-01-14,SELL,1,164.32,164.32,0.00,-0.01,164.31,stock
DMAT,Global X Disruptive Materials ETF,2026-01-13,2026-01-14,BUY,1,31.55,-31.55,0.00,0.00,-31.55,stock
ONDS,Ondas Inc,2026-01-16,2026-01-20,BUY,50,12.57,-628.42,0.00,0.00,-628.43,stock
MP,MP Materials Corp,2026-01-16,2026-01-20,BUY,10,69.25,-692.50,0.00,0.00,-692.50,stock
