"Positions for account Scwab New BS ...015 as of 11:30 AM ET, 2026/04/30"

"Symbol","Description","Qty (Quantity)","Price","Day Chng $ (Day Change $)","Day Chng % (Day Change %)","Price Chng % (Price Change %)","Gain $ (Gain/Loss $)","Gain % (Gain/Loss %)","Price Chng $ (Price Change $)","Mkt Val (Market Value)","Cost Basis","Reinvest?","Reinvest Capital Gains?","Asset Type",
"AMD","ADVANCED MICRO DEVIC","2","348.8074","$23.39","3.47%","3.47%","$133.43","23.65%","11.6974","$697.61","$564.18","Yes","N/A","Equity",
"AMZN","AMAZON.COM INC","4","258.4492","-$18.36","-1.74%","-1.75%","$13.85","1.36%","-4.5908","$1,033.80","$1,019.95","Yes","N/A","Equity",
"ANET","ARISTA NETWORKS INC","8","169.825","$9.16","0.68%","0.68%","-$10.58","-0.77%","1.145","$1,358.60","$1,369.18","Yes","N/A","Equity",
"AVGO","BROADCOM INC","2","412.2899","$13.68","1.69%","1.69%","$22.19","2.77%","6.8399","$824.58","$802.39","Yes","N/A","Equity",
"BWXT","BWX TECHNOLOGIES INC","6","213.7099","$33.78","2.71%","2.71%","-$27.96","-2.13%","5.6299","$1,282.26","$1,310.22","Yes","N/A","Equity",
"CEG","CONSTELLATION ENERGY COR","4","311.025","$56.10","4.72%","4.72%","$12.10","0.98%","14.025","$1,244.10","$1,232.00","Yes","N/A","Equity",
"CRDO","CREDO TECHNOLOGY GROUP F","8","175.6685","-$0.81","-0.06%","-0.06%","$41.43","3.04%","-0.1015","$1,405.35","$1,363.92","No","N/A","Equity",
"CRWD","CROWDSTRIKE HLDGS INC CLASS CLASS A","3","445.475","-$20.72","-1.53%","-1.53%","-$55.45","-3.98%","-6.905","$1,336.43","$1,391.88","Yes","N/A","Equity",
"DELL","DELL TECHNOLOGIES INC CLASS CLASS C","4","205.135","-$2.10","-0.26%","-0.26%","-$46.80","-5.4%","-0.525","$820.54","$867.34","Yes","N/A","Equity",
"MU","MICRON TECHNOLOGY INC","2","512.17","-$12.58","-1.21%","-1.21%","$24.34","2.43%","-6.29","$1,024.34","$1,000.00","No","N/A","Equity",
"PLTR","PALANTIR TECHNOLOGIES INCLASS CLASS A","5","139.6958","$8.63","1.25%","1.25%","-$55.19","-7.32%","1.7258","$698.48","$753.67","Yes","N/A","Equity",
"VRT","VERTIV HLDGS CO CLASS CLASS A","4","321.30","$60.48","4.94%","4.94%","$17.24","1.36%","15.12","$1,285.20","$1,267.96","Yes","N/A","Equity",
"XLE","STATE STREET ENERGY SELECT SECTOR SPDR ETF","16","59.5723","$25.16","2.71%","0.92%","$25.16","2.71%","0.5423","$953.16","$928.00","No","N/A","ETFs & Closed End Funds",
"XLF","STATE STREET FINANCIAL SELECT SECTOR SPDR ETF","26","52.065","$14.69","1.1%","0.28%","$14.69","1.1%","0.145","$1,353.69","$1,339.00","No","N/A","ETFs & Closed End Funds",
"XLV","STATE STREET HEALTH CARESELECT SECTOR SPDR ETF","10","145.43","$25.90","1.81%","1.81%","$29.30","2.06%","2.59","$1,454.30","$1,425.00","No","N/A","ETFs & Closed End Funds",
"Cash & Cash Investments","--","--","--","-$1,991.77","-18.33%","--","--","--","--","$8,872.76","--","--","--","Cash and Money Market",
"Positions Total","","--","--","-$1,775.37","-6.92%","--","$137.75","0.83%","--","$25,645.20","$16,634.69","--","--","--",
