"Positions for account Scwab New BS ...015 as of 08:11 PM ET, 2026/04/28"

"Symbol","Description","Qty (Quantity)","Price","Day Chng $ (Day Change $)","Day Chng % (Day Change %)","Price Chng % (Price Change %)","Gain $ (Gain/Loss $)","Gain % (Gain/Loss %)","Price Chng $ (Price Change $)","Mkt Val (Market Value)","Cost Basis","Reinvest?","Reinvest Capital Gains?","Asset Type",
"AMD","ADVANCED MICRO DEVIC","2","325.88","-$17.50","-2.61%","-2.61%","$87.58","15.52%","-8.75","$651.76","$564.18","No","N/A","Equity",
"AMZN","AMAZON.COM INC","4","259.67","-$5.80","-0.56%","-0.56%","$18.73","1.84%","-1.45","$1,038.68","$1,019.95","No","N/A","Equity",
"ANET","ARISTA NETWORKS INC","11","165.52","-$76.45","-4.03%","-4.03%","-$55.68","-2.97%","-6.95","$1,820.72","$1,876.40","No","N/A","Equity",
"AVGO","BROADCOM INC","2","399.64","-$37.12","-4.44%","-4.44%","-$3.11","-0.39%","-18.56","$799.28","$802.39","No","N/A","Equity",
"BWXT","BWX TECHNOLOGIES INC","6","216.49","-$11.28","-0.86%","-2.51%","-$11.28","-0.86%","-5.58","$1,298.94","$1,310.22","No","N/A","Equity",
"CCJ","CAMECO CORP F","10","116.585","-$14.15","-1.2%","-5.3%","-$14.15","-1.2%","-6.525","$1,165.85","$1,180.00","No","N/A","Equity",
"CEG","CONSTELLATION ENERGY COR","4","306.45","-$6.20","-0.5%","-2.77%","-$6.20","-0.5%","-8.72","$1,225.80","$1,232.00","No","N/A","Equity",
"CRDO","CREDO TECHNOLOGY GROUP F","8","165.00","-$43.92","-3.22%","-8.59%","-$43.92","-3.22%","-15.50","$1,320.00","$1,363.92","No","N/A","Equity",
"CRWD","CROWDSTRIKE HLDGS INC CLASS CLASS A","3","455.00","$1.17","0.09%","0.09%","-$26.88","-1.93%","0.39","$1,365.00","$1,391.88","No","N/A","Equity",
"DELL","DELL TECHNOLOGIES INC CLASS CLASS C","7","206.69","-$64.96","-4.3%","-4.3%","-$71.02","-4.68%","-9.28","$1,446.83","$1,517.85","No","N/A","Equity",
"MU","MICRON TECHNOLOGY INC","2","518.98","$37.96","3.8%","-1.06%","$37.96","3.8%","-5.58","$1,037.96","$1,000.00","No","N/A","Equity",
"PLTR","PALANTIR TECHNOLOGIES INCLASS CLASS A","7","140.90","-$15.40","-1.54%","-1.54%","-$45.12","-4.37%","-2.20","$986.30","$1,031.42","No","N/A","Equity",
"VRT","VERTIV HLDGS CO CLASS CLASS A","6","305.87","-$99.36","-5.14%","-5.14%","-$32.74","-1.75%","-16.56","$1,835.22","$1,867.96","No","N/A","Equity",
"Cash & Cash Investments","--","--","--","-$6,086.14","-39.15%","--","--","--","--","$9,460.71","--","--","--","Cash and Money Market",
"Positions Total","","--","--","-$6,439.15","-25.3%","--","-$165.83","-1.03%","--","$25,453.05","$16,158.17","--","--","--",
