date,clean_days,n_under10,n_over10,n_null,artifact_zeros,evaluator_ok,measurement_health,cost_usd,grade_dashboard,grade_signals,grade_execution,grade_measurement,grade_fleet,grade_risk,grade_monitoring,grade_data,grade_models,grade_resilience
2026-06-29,5,1175,660,5383,0,1,GREEN,0.03,B+,D,B,C+,C+,A-,C+,B,C,A-
2026-06-30,8,2195,1101,10724,0,1,GREEN,1.4165,B+,D,B,C+,C+,A-,C+,B,C,A-
2026-07-01,9,2428,1253,11698,0,1,GREEN,0.2035,B+,D,B,C+,C+,A-,C+,B,C,A-
2026-07-02,10,2649,1347,11618,0,1,GREEN,1.3242,B+,D,B,C+,C+,A-,C+,B,C,A-
2026-07-03,10,2742,1371,11691,0,1,GREEN,0.0000,B+,D,B,C+,C+,A-,C+,B,C,A-
2026-07-04,10,2858,1403,13069,0,0,RED,0.0000,B+,D,B,C+,C+,A-,C+,B,C,A-
2026-07-06,12,3384,1543,14447,0,1,GREEN,0.0000,B+,D,B,C+,C+,A-,C+,B,C,A-
2026-07-16,20,5910,2332,22878,0,1,GREEN,0.1534,B+,D,B,C+,C+,A-,C+,B,C,A-
2026-07-17,20,5923,2333,24644,0,1,GREEN,0.1665,B+,D,B,C+,C+,A-,C+,B,C,A-
2026-07-20,22,6483,2605,26764,0,1,GREEN,0.0000,B+,D,B,C+,C+,A-,C+,B,C,A-
2026-07-21,23,6620,2696,28048,0,1,GREEN,0.0000,B+,D,B,C+,C+,A-,C+,B,C,A-
